identifier,code_system,disease_code,preferred_name,evs_nci_code,corrected_preferred_name_for_icd9,date_last_created,date_last_updated,site_code,site_name,disease_code_site_code,evs_preferred_name,comments
2087,ICD10,C43.39,Malignant melanoma of other parts of face,C3510,,2019-11-27 16:16:29.229898,,,,,,
6895,ICD-O-3,8247/3,Merkel cell carcinoma,C9292,,2022-05-24 23:11:42.495990,,C03.0,Upper gum,8247/3C03.0,Solid Neoplasm,CCCT Internal Mapping
3740,SDC,10041840,Squamous cell carcinoma of the anus,C9161,,2019-11-27 16:17:07.189885,,,,,,
2457,ICD10,C91.A0,Mature B-cell leukemia Burkitt-type not having achieved remission,C7400,,2019-11-27 16:16:29.229898,,,,,,
3006,ICD9,187.7,Malignant neoplasm of scrotum (187.7),C3560,Malignant neoplasm of scrotum ,2019-11-27 16:17:07.189885,,,,,,
2671,ICD10,R97.2,Elevated prostate specific antigen [PSA],C123611,,2019-11-27 16:16:29.229898,,,,,,
3433,Legacy Codes - CTEP,10008964,Chronic lymphocytic leukemia stage 1,C7874,,2019-11-27 16:17:07.189885,,,,,,
3617,SDC,10009951,Adenocarcinoma of the colon,C4349,,2019-11-27 16:17:07.189885,,,,,,
3435,Legacy Codes - CTEP,10008966,Chronic lymphocytic leukemia stage 3,C7876,,2019-11-27 16:17:07.189885,,,,,,
3720,SDC,10036061,Polycythemia vera,C3336,,2019-11-27 16:17:07.189885,,,,,,
8163,ICD10,C90.10,Plasma cell leukemia not having achieved remission,C3180,,2022-08-24 22:34:43.826342,,,,,,
3487,Legacy Codes - CTEP,10025650,Malignant melanoma of skin stage unspecified,C3510,,2019-11-27 16:17:07.189885,,,,,,
2873,ICD9,161.0,Malignant neoplasm of glottis (161.0),C3544,Malignant neoplasm of glottis ,2019-11-27 16:16:29.229898,,,,,,
2271,ICD10,C73,Malignant neoplasm of thyroid gland,C7510,,2019-11-27 16:16:29.229898,,,,,,
3208,ICD9,205.1,"Myeloid leukemia, chronic (205.1)",C3174,"Myeloid leukemia, chronic ",2019-11-27 16:17:07.189885,,,,,,
3097,ICD9,200.05,Reticulosarcoma involving lymph nodes of inguinal region and lower limb (200.05),C3211,Reticulosarcoma involving lymph nodes of inguinal region and lower limb ,2019-11-27 16:17:07.189885,,,,,,
3612,SDC,10008960,"Chronic lymphocytic leukemia, NOS",C3163,,2019-11-27 16:17:07.189885,,,,,,
2202,ICD10,C54.9,"Malignant neoplasm: Corpus uteri, unspecified",C3556,,2019-11-27 16:16:29.229898,,,,,,
3719,SDC,10035484,Solitary plasmacytoma,C6932,,2019-11-27 16:17:07.189885,,,,,,
3060,ICD9,195.0,"Malignant neoplasm of head, face, and neck (195.0)",C4013,"Malignant neoplasm of head, face, and neck ",2019-11-27 16:17:07.189885,,,,,,
2343,ICD10,C81.10,"Nodular sclerosis classical Hodgkin lymphoma, unspecified site",C3518,,2019-11-27 16:16:29.229898,,,,,,
2145,ICD10,C49.10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",C4867,,2019-11-27 16:16:29.229898,,,,,,
3087,ICD9,199.0,Disseminated malignant neoplasm (199.0),C27470,Disseminated malignant neoplasm ,2019-11-27 16:17:07.189885,,,,,,
2712,ICD10,Z85.46,Personal history of malignant neoplasm of prostate,C18849,,2019-11-27 16:16:29.229898,,,,,,
3787,SDC,10065863,"Anaplastic large-cell lymphoma, primary cutaneous type",C6860,,2019-11-27 16:17:07.189885,,,,,,
3337,ICD9,239.0,Neoplasm of unspecified nature of digestive system (239.0),C3052,Neoplasm of unspecified nature of digestive system ,2019-11-27 16:17:07.189885,,,,,,
2869,ICD9,160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses (160)",C4013,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses ",2019-11-27 16:16:29.229898,,,,,,
3635,SDC,10017618,Gall bladder carcinoma (adenocarcinoma),C3844,,2019-11-27 16:17:07.189885,,,,,,
3592,SDC,10003571,"Low-grade astrocytoma, NOS",C7173,,2019-11-27 16:17:07.189885,,,,,,
3696,SDC,10029462,Nodal marginal zone B-cell lymphoma,C8863,,2019-11-27 16:17:07.189885,,,,,,
3691,SDC,10029145,Wilms tumor (Nephroblastoma),C3267,,2019-11-27 16:17:07.189885,,,,,,
2589,ICD10,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,C9343,,2019-11-27 16:16:29.229898,,,,,,
2428,ICD10,C85.7,Other specified types of non-Hodgkin lymphoma,C3211,,2019-11-27 16:16:29.229898,,,,,,
3183,ICD9,203,Multiple myeloma and immunoproliferative neoplasms (203),C3242,Multiple myeloma and immunoproliferative neoplasms ,2019-11-27 16:17:07.189885,,,,,,
2029,ICD10,C32.9,"Malignant neoplasm: Larynx, unspecified",C7484,,2019-11-27 16:16:29.229898,,,,,,
3168,ICD9,202.7,Peripheral T-cell lymphoma (202.7),C4340,Peripheral T-cell lymphoma ,2019-11-27 16:17:07.189885,,,,,,
3303,ICD9,233.1,Carcinoma in situ of cervix uteri (233.1),C89550,Carcinoma in situ of cervix uteri ,2019-11-27 16:17:07.189885,,,,,,
2246,ICD10,C69.30,Malignant neoplasm of unspecified choroid,C3566,,2019-11-27 16:16:29.229898,,,,,,
2562,ICD10,D37.9,"Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified",C3052,,2019-11-27 16:16:29.229898,,,,,,
2174,ICD10,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
2333,ICD10,C80.1,"Malignant (primary) neoplasm, unspecified",C9305,,2019-11-27 16:16:29.229898,,,,,,
3015,ICD9,188.5,Malignant neoplasm of bladder neck (188.5),C9334,Malignant neoplasm of bladder neck ,2019-11-27 16:17:07.189885,,,,,,
3618,SDC,10010029,"Colorectal cancer, NOS",C2955,,2019-11-27 16:17:07.189885,,,,,,
2713,ICD10,Z85.528,Personal history of other malignant neoplasm of kidney,C18849,,2019-11-27 16:16:29.229898,,,,,,
2930,ICD9,172.8,Malignant melanoma of other specified sites of skin (172.8),C3510,Malignant melanoma of other specified sites of skin ,2019-11-27 16:17:07.189885,,,,,,
2182,ICD10,C50.811,Malignant neoplasm of overlapping sites of right female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
2764,ICD9,144.1,Malignant neoplasm of lateral portion of floor of mouth (144.1),C9318,Malignant neoplasm of lateral portion of floor of mouth ,2019-11-27 16:16:29.229898,,,,,,
3379,ICD9,621.0,Polyp of corpus uteri (621.0),C3662,Polyp of corpus uteri ,2019-11-27 16:17:07.189885,,,,,,
3424,Legacy Codes - CTEP,10007423,Carcinoma NOS,C2916,,2019-11-27 16:17:07.189885,,,,,,
3789,SDC,10065865,Clear cell sarcoma/Malignant melanoma of soft parts (excluding Clear cell sarcoma of the kidney),C3745,,2019-11-27 16:17:07.189885,,,,,,
2559,ICD10,D36.7,Benign neoplasm: Other specified sites,C3677,,2019-11-27 16:16:29.229898,,,,,,
2961,ICD9,174.3,Malignant neoplasm of lower-inner quadrant of female breast (174.3),C9335,Malignant neoplasm of lower-inner quadrant of female breast ,2019-11-27 16:17:07.189885,,,,,,
3460,Legacy Codes - CTEP,10017760,Gastric cancer NOS,C4911,,2019-11-27 16:17:07.189885,,,,,,
2003,ICD10,C24.1,Malignant neoplasm: Ampulla of Vater,C3536,,2019-11-27 16:16:29.229898,,,,,,
3064,ICD9,195.3,Malignant neoplasm of pelvis (195.3),C156715,Malignant neoplasm of pelvis ,2019-11-27 16:17:07.189885,,,,,,
2086,ICD10,C43.31,Malignant melanoma of nose,C3510,,2019-11-27 16:16:29.229898,,,,,,
2486,ICD10,C93.01,"Acute monoblastic/monocytic leukemia, in remission",C156725,,2019-11-27 16:16:29.229898,,,,,,
3649,SDC,10020631,Monoclonal gammopathy of undetermined significance (MGUS),C3996,,2019-11-27 16:17:07.189885,,,,,,
1957,ICD10,C15,Malignant neoplasm of oesophagus,C7478,,2019-11-27 16:16:29.229898,,,,,,
2631,ICD10,K55,Vascular disorders of intestine,C35117,,2019-11-27 16:16:29.229898,,,,,,
3574,Legacy Codes - CTEP,10066352,Renal cell carcinoma with sarcomatoid features,C27893,,2019-11-27 16:17:07.189885,,,,,,
3234,ICD9,208.02,"Leukemia of unspecified cell type, acute in relapse (208.02)",C148429,"Leukemia of unspecified cell type, acute in relapse ",2019-11-27 16:17:07.189885,,,,,,
2160,ICD10,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",C120455,,2019-11-27 16:16:29.229898,,,,,,
3537,Legacy Codes - CTEP,10038414,Renal cell carcinoma stage IV,C140326,,2019-11-27 16:17:07.189885,,,,,,
3246,ICD9,209.13,Malignant carcinoid tumor of the ascending colon (209.13),C6427,Malignant carcinoid tumor of the ascending colon ,2019-11-27 16:17:07.189885,,,,,,
3188,ICD9,203.8,Other immunoproliferative neoplasms (203.8),C7065,Other immunoproliferative neoplasms ,2019-11-27 16:17:07.189885,,,,,,
2263,ICD10,C71.9,"Malignant neoplasm: Brain, unspecified",C3568,,2019-11-27 16:16:29.229898,,,,,,
2546,ICD10,D17.9,"Benign lipomatous neoplasm, unspecified",C4502,,2019-11-27 16:16:29.229898,,,,,,
2874,ICD9,161,Malignant neoplasm of larynx (161),C7484,Malignant neoplasm of larynx ,2019-11-27 16:16:29.229898,,,,,,
3450,Legacy Codes - CTEP,10014967,Ependymoma,C3017,,2019-11-27 16:17:07.189885,,,,,,
2162,ICD10,C50.111,Malignant neoplasm of central portion of right female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
3300,ICD9,232.9,"Carcinoma in situ of skin, site unspecified (232.9)",C3640,"Carcinoma in situ of skin, site unspecified ",2019-11-27 16:17:07.189885,,,,,,
3458,Legacy Codes - CTEP,10016935,Follicular thyroid cancer,C8054,,2019-11-27 16:17:07.189885,,,,,,
1916,ICD10,C02.2,Malignant neoplasm: Ventral surface of tongue,C9345,,2019-11-27 16:16:29.229898,,,,,,
2044,ICD10,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",C4571,,2019-11-27 16:16:29.229898,,,,,,
2301,ICD10,C78.1,Secondary malignant neoplasm of mediastinum,C3578,,2019-11-27 16:16:29.229898,,,,,,
3261,ICD9,209.79,Secondary neuroendocrine tumor of other sites (209.79),C147065,Secondary neuroendocrine tumor of other sites ,2019-11-27 16:17:07.189885,,,,,,
2906,ICD9,170.5,Malignant neoplasm of short bones of upper limb (170.5),C4016,Malignant neoplasm of short bones of upper limb ,2019-11-27 16:16:29.229898,,,,,,
6898,ICD-O-3,8453/3,Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma,C2910,,2022-05-24 23:11:42.495990,,C50.1,Central portion of breast,8453/3C50.1,Breast Neoplasm,CCCT Internal Mapping
3299,ICD9,232.3,Carcinoma in situ of skin of other and unspecified parts of face (232.3),C3640,Carcinoma in situ of skin of other and unspecified parts of face ,2019-11-27 16:17:07.189885,,,,,,
3028,ICD9,190.0,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid (190.0)",C4767,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid ",2019-11-27 16:17:07.189885,,,,,,
3280,ICD9,218.0,Submucous leiomyoma of uterus (218.0),C3434,Submucous leiomyoma of uterus ,2019-11-27 16:17:07.189885,,,,,,
2640,ICD10,M85.429,"Solitary bone cyst, unspecified humerus",C2904,,2019-11-27 16:16:29.229898,,,,,,
3633,SDC,10016896,Follicular lymphoma,C3209,,2019-11-27 16:17:07.189885,,,,,,
2197,ICD10,C53.1,Malignant neoplasm: Exocervix,C3554,,2019-11-27 16:16:29.229898,,,,,,
2167,ICD10,C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
2482,ICD10,C92.Z1,"Other myeloid leukemia, in remission",C4899,,2019-11-27 16:16:29.229898,,,,,,
2988,ICD9,183,Malignant neoplasm of ovary and other uterine adnexa (183),C4913,Malignant neoplasm of ovary and other uterine adnexa ,2019-11-27 16:17:07.189885,,,,,,
3129,ICD9,201.2,Hodgkin's sarcoma (201.2),C9283,Hodgkin's sarcoma ,2019-11-27 16:17:07.189885,,,,,,
2062,ICD10,C40.00,Malignant neoplasm of scapula and long bones of unspecified upper limb,C4016,,2019-11-27 16:16:29.229898,,,,,,
2242,ICD10,C69.2,Malignant neoplasm: Retina,C3216,,2019-11-27 16:16:29.229898,,,,,,
2800,ICD9,149.0,"Malignant neoplasm of pharynx, unspecified (149.0)",C7545,"Malignant neoplasm of pharynx, unspecified ",2019-11-27 16:16:29.229898,,,,,,
3530,Legacy Codes - CTEP,10036718,Primary mediastinal large B-cell lymphoma stage IV,C8879,,2019-11-27 16:17:07.189885,,,,,,
3091,ICD9,200.0,Reticulosarcoma (200.0),C3211,Reticulosarcoma ,2019-11-27 16:17:07.189885,,,,,,
3217,ICD9,205.90,Unspecified myeloid leukemia without mention of having achieved remission (205.90),C3172,Unspecified myeloid leukemia without mention of having achieved remission ,2019-11-27 16:17:07.189885,,,,,,
2950,ICD9,173.51,"Basal cell carcinoma of skin of trunk, except scrotum (173.51)",C2921,"Basal cell carcinoma of skin of trunk, except scrotum ",2019-11-27 16:17:07.189885,,,,,,
3443,Legacy Codes - CTEP,10012820,Diffuse large B-cell lymphoma NOS,C8851,,2019-11-27 16:17:07.189885,,,,,,
3647,SDC,10020231,"Hodgkin lymphoma nodular lymphocyte predominant type, NOS",C7258,,2019-11-27 16:17:07.189885,,,,,,
3214,ICD9,205.8,Other myeloid leukemia (205.8),C3172,Other myeloid leukemia ,2019-11-27 16:17:07.189885,,,,,,
2517,ICD10,D00.08,Carcinoma in situ of pharynx,C4942,,2019-11-27 16:16:29.229898,,,,,,
3086,ICD9,198.89,Secondary malignant neoplasm of other specified sites (198.89),C4968,Secondary malignant neoplasm of other specified sites ,2019-11-27 16:17:07.189885,,,,,,
3023,ICD9,189.2,Malignant neoplasm of ureter (189.2),C7543,Malignant neoplasm of ureter ,2019-11-27 16:17:07.189885,,,,,,
3410,Legacy Codes - CTEP,10002224,Anaplastic astrocytoma,C9477,,2019-11-27 16:17:07.189885,,,,,,
2749,ICD9,141.6,Malignant neoplasm of lingual tonsil (141.6),C7404,Malignant neoplasm of lingual tonsil ,2019-11-27 16:16:29.229898,,,,,,
3688,SDC,10028566,"Myeloma, NOS",C3242,,2019-11-27 16:17:07.189885,,,,,,
7081,ICD10,C85.99,"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",C3211,,2022-05-24 23:12:51.286405,,,,,,
2371,ICD10,C82.38,"Follicular lymphoma grade IIIa, lymph nodes of multiple sites",C7191,,2019-11-27 16:16:29.229898,,,,,,
2585,ICD10,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",C27134,,2019-11-27 16:16:29.229898,,,,,,
2819,ICD9,151.9,"Malignant neoplasm of stomach, unspecified (151.9)",C9331,"Malignant neoplasm of stomach, unspecified ",2019-11-27 16:16:29.229898,,,,,,
2912,ICD9,171.0,"Malignant neoplasm of connective and other soft tissue of head, face, and neck (171.0)",C4867,"Malignant neoplasm of connective and other soft tissue of head, face, and neck ",2019-11-27 16:17:07.189885,,,,,,
3449,Legacy Codes - CTEP,10014739,Endometrial cancer stage II,C139805,,2019-11-27 16:17:07.189885,,,,,,
3732,SDC,10039024,"Rhabdomyosarcoma, NOS",C3359,,2019-11-27 16:17:07.189885,,,,,,
3423,Legacy Codes - CTEP,10006285,Breast neoplasm NOS,C4872,,2019-11-27 16:17:07.189885,,,,,,
2624,ICD10,J39.2,Other diseases of pharynx,C26850,,2019-11-27 16:16:29.229898,,,,,,
3565,Legacy Codes - CTEP,10054184,Small intestine carcinoma NOS,C7724,,2019-11-27 16:17:07.189885,,,,,,
2491,ICD10,C93.9,"Monocytic leukaemia, unspecified",C4861,,2019-11-27 16:16:29.229898,,,,,,
2987,ICD9,183.0,Malignant neoplasm of ovary (183.0),C7431,Malignant neoplasm of ovary ,2019-11-27 16:17:07.189885,,,,,,
2911,ICD9,171,Malignant neoplasm of connective and other soft tissue (171),C4867,Malignant neoplasm of connective and other soft tissue ,2019-11-27 16:17:07.189885,,,,,,
3577,Legacy Codes - CTEP,90600056,Thyroid adenocarcinoma,C27380,,2019-11-27 16:17:07.189885,,,,,,
3614,SDC,10009018,Chronic myelomonocytic leukemia,C3178,,2019-11-27 16:17:07.189885,,,,,,
2038,ICD10,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",C4571,,2019-11-27 16:16:29.229898,,,,,,
2049,ICD10,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,C4571,,2019-11-27 16:16:29.229898,,,,,,
2433,ICD10,C85.83,"Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",C3211,,2019-11-27 16:16:29.229898,,,,,,
3693,SDC,10029261,Neuroblastoma,C3270,,2019-11-27 16:17:07.189885,,,,,,
2472,ICD10,C92.52,"Acute myelomonocytic leukemia, in relapse",C156717,,2019-11-27 16:16:29.229898,,,,,,
3323,ICD9,238.2,Neoplasm of uncertain behavior of skin (238.2),C3372,Neoplasm of uncertain behavior of skin ,2019-11-27 16:17:07.189885,,,,,,
3695,SDC,10029268,Neurofibromatosis,C6727,,2019-11-27 16:17:07.189885,,,,,,
3465,Legacy Codes - CTEP,10019053,Hairy cell leukemia,C7402,,2019-11-27 16:17:07.189885,,,,,,
3111,ICD9,200.40,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites (200.40)",C4337,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites ",2019-11-27 16:17:07.189885,,,,,,
2287,ICD10,C76.1,Malignant neoplasm of other and ill-defined sites: Thorax,C3576,,2019-11-27 16:16:29.229898,,,,,,
2217,ICD10,C61,Malignant neoplasm of prostate,C7378,,2019-11-27 16:16:29.229898,,,,,,
3096,ICD9,200.04,Reticulosarcoma involving lymph nodes of axilla and upper limb (200.04),C3211,Reticulosarcoma involving lymph nodes of axilla and upper limb ,2019-11-27 16:17:07.189885,,,,,,
2793,ICD9,147.9,"Malignant neoplasm of nasopharynx, unspecified (147.9)",C9321,"Malignant neoplasm of nasopharynx, unspecified ",2019-11-27 16:16:29.229898,,,,,,
3546,Legacy Codes - CTEP,10041848,Squamous cell carcinoma of the cervix,C4028,,2019-11-27 16:17:07.189885,,,,,,
2051,ICD10,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,C4571,,2019-11-27 16:16:29.229898,,,,,,
3523,Legacy Codes - CTEP,10033702,Papillary tumour of renal pelvis,C6975,,2019-11-27 16:17:07.189885,,,,,,
2867,ICD9,159.9,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum (159.9),C4890,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum ,2019-11-27 16:16:29.229898,,,,,,
3345,ICD9,273.1,Monoclonal paraproteinemia (273.1),C35878,Monoclonal paraproteinemia ,2019-11-27 16:17:07.189885,,,,,,
3644,SDC,10019810,"Liver and hepatobiliary cancer, NOS",C7927,,2019-11-27 16:17:07.189885,,,,,,
2101,ICD10,C44.0,Malignant neoplasm: Skin of lip,C7485,,2019-11-27 16:16:29.229898,,,,,,
2736,ICD9,140,Malignant neoplasm of lip (140),C7485,Malignant neoplasm of lip ,2019-11-27 16:16:29.229898,,,,,,
3049,ICD9,192.2,Malignant neoplasm of spinal cord (192.2),C3572,Malignant neoplasm of spinal cord ,2019-11-27 16:17:07.189885,,,,,,
2824,ICD9,152.9,"Malignant neoplasm of small intestine, unspecified (152.9)",C7523,"Malignant neoplasm of small intestine, unspecified ",2019-11-27 16:16:29.229898,,,,,,
2342,ICD10,C81.1,Nodular sclerosis classical Hodgkin lymphoma,C3518,,2019-11-27 16:16:29.229898,,,,,,
3055,ICD9,194.3,Malignant neoplasm of pituitary gland and craniopharyngeal duct (194.3),C4769,Malignant neoplasm of pituitary gland and craniopharyngeal duct ,2019-11-27 16:17:07.189885,,,,,,
3627,SDC,10015563,Ewing sarcoma/Peripheral primitive neuroectodermal tumor,C27291,,2019-11-27 16:17:07.189885,,,,,,
2306,ICD10,C79,Secondary malignant neoplasm of other and unspecified sites,C36263,,2019-11-27 16:16:29.229898,,,,,,
3622,SDC,10013806,Ductal carcinoma in situ,C2924,,2019-11-27 16:17:07.189885,,,,,,
3715,SDC,10034819,Pharyngeal (including Hypopharyngeal and Oropharyngeal) squamous cell carcinoma,C102872,,2019-11-27 16:17:07.189885,,,,,,
2391,ICD10,C83.51,"Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck",C9360,,2019-11-27 16:16:29.229898,,,,,,
2957,ICD9,174,Malignant neoplasm of female breast (174),C9335,Malignant neoplasm of female breast ,2019-11-27 16:17:07.189885,,,,,,
2161,ICD10,C50.1,Malignant neoplasm: Central portion of breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
2545,ICD10,D16.9,"Benign neoplasm: Bone and articular cartilage, unspecified",C4880,,2019-11-27 16:16:29.229898,,,,,,
3173,ICD9,202.80,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites (202.80)",C3208,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites ",2019-11-27 16:17:07.189885,,,,,,
3532,Legacy Codes - CTEP,10036910,Prostate cancer NOS,C4863,,2019-11-27 16:17:07.189885,,,,,,
3654,SDC,10023290,AIDS-related Kaposi sarcoma,C3992,,2019-11-27 16:17:07.189885,,,,,,
6899,ICD-O-3,9500/3,"Neuroblastoma, NOS",C156101,,2022-05-24 23:11:42.495990,,C40.0,"Long bones of upper limb, scapula and associated joints",9500/3C40.0,Metastatic Neuroblastoma,CCCT Internal Mapping
6900,ICD-O-3,8460/3,Low grade serous carcinoma,C3813,,2022-05-24 23:11:42.495990,,C71.0,Cerebrum,8460/3C71.0,Metastatic Malignant Neoplasm in the Brain,CCCT Internal Mapping
6901,ICD-O-3,8144/3,"Adenocarcinoma, intestinal type",C8294,,2022-05-24 23:11:42.495990,,C25.0,Head of pancreas,8144/3C25.0,Pancreatic Adenocarcinoma,CCCT Internal Mapping
2011,ICD10,C25.7,Malignant neoplasm: Other parts of pancreas,C9005,,2019-11-27 16:16:29.229898,,,,,,
3318,ICD9,237.72,"Neurofibromatosis, type 2 [acoustic neurofibromatosis] (237.72)",C3274,"Neurofibromatosis, type 2 [acoustic neurofibromatosis] ",2019-11-27 16:17:07.189885,,,,,,
2493,ICD10,C94,Other leukaemias of specified cell type,C3161,,2019-11-27 16:16:29.229898,,,,,,
2573,ICD10,D44.3,Neoplasm of uncertain or unknown behaviour: Pituitary gland,C3330,,2019-11-27 16:16:29.229898,,,,,,
2407,ICD10,C84.4,"Peripheral T-cell lymphoma, not classified",C4340,,2019-11-27 16:16:29.229898,,,,,,
3078,ICD9,197.8,Secondary malignant neoplasm of other digestive organs and spleen (197.8),C8615,Secondary malignant neoplasm of other digestive organs and spleen ,2019-11-27 16:17:07.189885,,,,,,
3496,Legacy Codes - CTEP,10026801,Mantle cell lymphoma refractory,C8862,,2019-11-27 16:17:07.189885,,,,,,
2693,ICD10,Z63.6,Dependent relative needing care at home,C99957,,2019-11-27 16:16:29.229898,,,,,,
2770,ICD9,145.2,Malignant neoplasm of hard palate (145.2),C3528,Malignant neoplasm of hard palate ,2019-11-27 16:16:29.229898,,,,,,
2048,ICD10,C34.9,"Malignant neoplasm: Bronchus or lung, unspecified",C4571,,2019-11-27 16:16:29.229898,,,,,,
2116,ICD10,C44.5,Malignant neoplasm: Skin of trunk,C2920,,2019-11-27 16:16:29.229898,,,,,,
2534,ICD10,D07.30,Carcinoma in situ of unspecified female genital organs,C2917,,2019-11-27 16:16:29.229898,,,,,,
2664,ICD10,R83,Abnormal findings in cerebrospinal fluid,C82547,,2019-11-27 16:16:29.229898,,,,,,
3446,Legacy Codes - CTEP,10012826,Diffuse large B-cell lymphoma stage IV,C8857,,2019-11-27 16:17:07.189885,,,,,,
2540,ICD10,D14.3,Benign neoplasm: Bronchus and lung,C8531,,2019-11-27 16:16:29.229898,,,,,,
3106,ICD9,200.24,Burkitt's tumor or lymphoma involving lymph nodes of axilla and upper limb (200.24),C2912,Burkitt's tumor or lymphoma involving lymph nodes of axilla and upper limb ,2019-11-27 16:17:07.189885,,,,,,
3297,ICD9,231.1,Carcinoma in situ of trachea (231.1),C3639,Carcinoma in situ of trachea ,2019-11-27 16:17:07.189885,,,,,,
3365,ICD9,529.9,Unspecified condition of the tongue (529.9),C27641,Unspecified condition of the tongue ,2019-11-27 16:17:07.189885,,,,,,
2826,ICD9,153.0,Malignant neoplasm of hepatic flexure (153.0),C9242,Malignant neoplasm of hepatic flexure ,2019-11-27 16:16:29.229898,,,,,,
3708,SDC,10033630,Islet cell tumors of the pancreas,C27720,,2019-11-27 16:17:07.189885,,,,,,
1967,ICD10,C16.3,Malignant neoplasm: Pyloric antrum,C9331,,2019-11-27 16:16:29.229898,,,,,,
3222,ICD9,206.1,"Monocytic leukemia, chronic (206.1)",C3178,"Monocytic leukemia, chronic ",2019-11-27 16:17:07.189885,,,,,,
3785,SDC,10065861,Hurthle cell neoplasm (thyroid),C46068,,2019-11-27 16:17:07.189885,,,,,,
2696,ICD10,Z71.6,Tobacco abuse counselling,C101244,,2019-11-27 16:16:29.229898,,,,,,
3497,Legacy Codes - CTEP,10026805,Mantle cell lymphoma stage IV,C8486,,2019-11-27 16:17:07.189885,,,,,,
1993,ICD10,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,C35417,,2019-11-27 16:16:29.229898,,,,,,
2677,ICD10,Z00.1,Routine child health examination,C25305,,2019-11-27 16:16:29.229898,,,,,,
3682,SDC,10027457,"Metastases to liver, NOS",C4758,,2019-11-27 16:17:07.189885,,,,,,
2016,ICD10,C30,Malignant neoplasm of nasal cavity and middle ear,C4013,,2019-11-27 16:16:29.229898,,,,,,
3241,ICD9,209.0,Malignant carcinoid tumors of the small intestine (209.0),C4638,Malignant carcinoid tumors of the small intestine ,2019-11-27 16:17:07.189885,,,,,,
3441,Legacy Codes - CTEP,10009956,Colon cancer stage IV,C134287,,2019-11-27 16:17:07.189885,,,,,,
3568,Legacy Codes - CTEP,10057654,Breast cancer female NOS,C9335,,2019-11-27 16:17:07.189885,,,,,,
2990,ICD9,183.5,Malignant neoplasm of round ligament of uterus (183.5),C126498,Malignant neoplasm of round ligament of uterus ,2019-11-27 16:17:07.189885,,,,,,
2498,ICD10,C94.20,Acute megakaryoblastic leukemia not having achieved remission,C3170,,2019-11-27 16:16:29.229898,,,,,,
3315,ICD9,237,Neoplasm of uncertain behavior of endocrine glands and nervous system (237),C3010,Neoplasm of uncertain behavior of endocrine glands and nervous system ,2019-11-27 16:17:07.189885,,,,,,
2740,ICD9,140.5,"Malignant neoplasm of lip, unspecified, inner aspect (140.5)",C7485,"Malignant neoplasm of lip, unspecified, inner aspect ",2019-11-27 16:16:29.229898,,,,,,
2878,ICD9,161.9,"Malignant neoplasm of larynx, unspecified (161.9)",C7484,"Malignant neoplasm of larynx, unspecified ",2019-11-27 16:16:29.229898,,,,,,
3538,Legacy Codes - CTEP,10038415,Renal cell carcinoma stage unspecified,C9385,,2019-11-27 16:17:07.189885,,,,,,
2597,ICD10,D49.9,Neoplasm of unspecified behavior of unspecified site,C65157,,2019-11-27 16:16:29.229898,,,,,,
2335,ICD10,C81,Hodgkin lymphoma,C9357,,2019-11-27 16:16:29.229898,,,,,,
3110,ICD9,200.4,Mantle cell lymphoma (200.4),C4337,Mantle cell lymphoma ,2019-11-27 16:17:07.189885,,,,,,
3736,SDC,10041056,Small cell carcinoma (extrapulmonary),C3915,,2019-11-27 16:17:07.189885,,,,,,
3771,SDC,10058354,Bronchioloalveolar carcinoma,C2923,,2019-11-27 16:17:07.189885,,,,,,
